asset_id,asset_name,ip_address,vuln_details.asset_count,vuln_details.asset_fixed_count,vuln_details.asset_mitigated_count,vuln_details.finding_number,vuln_details.finding_name,vuln_details.finding_count,vuln_details.finding_cve,vuln_details.finding_discovered,vuln_details.finding_exploitable,vuln_details.finding_iava,vuln_details.finding_result,vuln_details.finding_severity,vuln_details.finding_status,vuln_details.issue_open_count,vuln_details.issue_closed_count,vuln_details.issues,vuln_details.scan_date,vuln_details.scan_type,vuln_details.due_date
17276779,eddbmp17,10.244.13.87,1,0,0,102116-f60edd2855fd60ead64e97cbc1e9e988,RHEL 7 : gnutls (RHSA-2017:2292),1,"CVE-2017-5335,CVE-2017-5336,CVE-2017-5334,CVE-2017-7507,CVE-2017-7869,CVE-2016-7444,CVE-2017-5337",2022-04-20 01:48:52,0,,FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,143089-430d1c1f2f552071692f5d032dba4fcc,RHEL 7 : libpng (RHSA-2020:3901),1,"CVE-2017-12652,CWE-20",2022-04-14 19:20:12,0,,FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,154074-8f1c1764a3e859323c601dc3ae50ed34,RHEL 7 : libxml2 (RHSA-2021:3810),1,"CVE-2016-4658,CWE-416",2022-04-14 19:20:12,0,,FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,143096-a4fb4728437a5d0b526b5ee83b3e806b,RHEL 7 : libxslt (RHSA-2020:4005),1,"CVE-2019-11068,CVE-2019-18197,CWE-416,CWE-284",2022-04-14 19:20:12,0,,FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,121280-6c5bb6df8cbb986d3e6a0f303b941253,RHEL 7 : perl (RHSA-2019:0109),1,CVE-2018-18311,2022-04-20 01:48:52,0,,FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,127717-1aa52794347d4f626799d9b54e74797f,RHEL 7 : perl (RHSA-2019:2400),1,CVE-2018-18311,2022-04-14 19:20:12,0,,FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,14657-1dac1cfb2a4970a4e85cc9d7dd28c5fa,Red Hat Update Level,1,,2022-04-14 19:20:12,0,,FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,33850-3aaa9e23e45d1b0eb4204dc24e7d49c8,Unix Operating System Unsupported Version Detection,1,,2022-04-14 19:20:12,0,"0001-A-0502,0001-A-0648",FAILED,Critical,Active,0,0,,2022-05-09 06:02:18,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,CVE-2017-12652-dee4d07dbc3975a7f5f0aba555efb5dc,libpng before 1.6.32 does not properly check the length of chunks against the user limit. - Severity Adjusted From: High,1,CVE-2017-12652,2020-10-14 00:00:00,0,,FAILED,Critical,Active,0,0,,2022-05-09,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,CVE-2019-11068-9f9fc051def9870a3f299782acb89d81,libxslt through 1.1.33 allows bypass of a protection mechanism because callers of xsltCheckRead and xsltCheckWrite permit access - Severity Adjusted From: High,1,CVE-2019-11068,2020-10-14 00:00:00,0,,FAILED,Critical,Active,0,0,,2022-05-09,TANIUM,
17276779,eddbmp17,10.244.13.87,1,0,0,CVE-2016-4658-f734a9e6de3eb6c28f6bfc6ff022b4a6,"xpointer.c in libxml2 before 2.9.5 (as used in Apple iOS before 10, OS X before 10.12, tvOS before 10, and watchOS before 3, and - Severity Adjusted From: High",1,CVE-2016-4658,2021-10-27 00:00:00,0,,FAILED,Critical,Active,0,0,,2022-05-09,TANIUM,
